publication_number,title,abstract,claims,ipc_classification,publication_date,assignee,legal_status
JP2025098243A,Meal plan recommendation system based on patient,,,G16H10/00,20250701,ソシエテ·デ·プロデュイ·ネスレ·エス·アー,['Inactive']
CN119384285A,Application of bifidobacterium longum transition type microorganism,Treating and/or preventing allergy and/or allergic sensitization. The present invention relates to a Bifidobacterium longum transition microorganism for use in the treatment and/or prevention of allergies and/or allergic sensitization in infants or young children.,"<div class=""indep-clm"" num=""1"">1.长双歧杆菌过渡型微生物，所述长双歧杆菌过渡型微生物用于治疗和/或预防婴儿或幼儿的变态反应和/或变态反应性致敏。</div>
<div class=""indep-clm"" num=""2"">2.益生元，所述益生元用于通过促进长双歧杆菌过渡型微生物在婴儿或幼儿的肠道中的生长和/或存活来治疗和/或预防所述婴儿或幼儿的变态反应，其中所述益生元是：</div>
<div class=""indep-clm"" num=""2"">i.聚糖底物，所述聚糖底物适当地选自表1至表3中任一者列举的组；和/或</div>
<div class=""indep-clm"" num=""2"">ii.人乳低聚糖(HMO)，所述人乳低聚糖(HMO)适当地选自由2'-O-岩藻糖基乳糖(2'-FL)、3'-O-岩藻糖基乳糖(3'-FL)、乳糖二岩藻四糖/二岩藻糖基乳糖(di-FL)、3'-O-唾液酸乳糖(3'-SL)、6'-O-唾液酸乳糖(6'-SL)、乳糖-N-四糖(LNT)和乳糖-N-新四糖(LNnT)以及它们的任何组合组成的组。</div>
<div class=""dep-clm"" num=""3"" parent=""1"">3.根据权利要求1所述使用的长双歧杆菌过渡型微生物，其中所述长双歧杆菌过渡型微生物与益生元结合地使用，并且其中所述益生元是：</div>
<div class=""dep-clm"" num=""3"" parent=""1"">i.聚糖底物，所述聚糖底物适当地选自表1至表3中任一者列举的组；和/或</div>
<div class=""dep-clm"" num=""3"" parent=""1"">ii.人乳低聚糖(HMO)，所述人乳低聚糖(HMO)适当地选自由2'-O-岩藻糖基乳糖(2'-FL)、3'-O-岩藻糖基乳糖(3'-FL)、乳糖二岩藻四糖/二岩藻糖基乳糖(di-FL)、3'-O-唾液酸乳糖(3'-SL)、6'-O-唾液酸乳糖(6'-SL)、乳糖-N-四糖(LNT)和乳糖-N-新四糖(LNnT)以及它们的任何组合组成的组。</div>
<div class=""dep-clm"" num=""4"" parent=""2"">4.根据权利要求2所述使用的益生元，其中所述益生元与长双歧杆菌过渡型微生物结合地使用。</div>
<div class=""indep-clm"" num=""5"">5.长双歧杆菌过渡型微生物和益生元的组合，所述组合用于治疗和/或预防婴儿或幼儿的变态反应和/或变态反应性致敏；其中所述益生元是：</div>
<div class=""indep-clm"" num=""5"">i.聚糖底物，所述聚糖底物适当地选自表1至表3中任一者列举的组；和/或</div>
<div class=""indep-clm"" num=""5"">ii.人乳低聚糖(HMO)，所述人乳低聚糖(HMO)适当地选自由2'-O-岩藻糖基乳糖(2'-FL)、3'-O-岩藻糖基乳糖(3'-FL)、乳糖二岩藻四糖/二岩藻糖基乳糖(di-FL)、3'-O-唾液酸乳糖(3'-SL)、6'-O-唾液酸乳糖(6'-SL)、乳糖-N-四糖(LNT)和乳糖-N-新四糖(LNnT)以及它们的任何组合组成的组。</div>
<div class=""dep-clm"" num=""6"" parent=""2,3,4,5"">6.根据权利要求2至5中任一项所述使用的长双歧杆菌过渡型微生物、益生元或组合，其中所述益生元是选自表1至表3中任一者列举的组的聚糖底物。</div>
<div class=""dep-clm"" num=""7"" parent=""2,3,4,5"">7.根据权利要求2至5中任一项所述使用的长双歧杆菌过渡型微生物、益生元或组合，其中所述益生元是选自由2'-FL、3'-FL、di-FL、3'-SL、6'-SL、LNT和LNnT以及它们的任何组合组成的组的HMO。</div>
<div class=""dep-clm"" num=""8"" parent=""2,3,4,5,7"">8.根据权利要求2至5或7中任一项所述使用的长双歧杆菌过渡型微生物、益生元或组合，其中所述HMO是3'-FL。</div>
<div class=""dep-clm"" num=""9"" parent=""2,3,4,5,6,7,8"">9.根据前述权利要求中任一项所述使用的长双歧杆菌过渡型微生物、益生元或组合，其中所述长双歧杆菌过渡型微生物能够代谢所述HMO和/或所述聚糖底物。</div>
<div class=""dep-clm"" num=""10"" parent=""2,3,4,5,6,7,8,9"">10.根据前述权利要求中任一项所述使用的长双歧杆菌过渡型微生物、益生元或组合，其中所述长双歧杆菌过渡型微生","A61K35/745, A23L33/135, A23L33/21, A23L33/00, A61K31/70",20250128,雀巢产品有限公司,['Pending']
US20250121014A1,Method for detecting and/or quantifying mood disorder and/or improvements of the mood disorder status using butyrate as biomarker and improved methods and compositions thereof,"The present invention relates to the use of butyrate as biomarker for detecting and/or quantifying improvements of the mood disorder status and/or excessive emotional reaction of a subject. It also relates to a method for detecting and/or quantifying mood disorder, improvements of the mood disorder status and/or excessive emotional reaction of a subject, in particular for monitoring the progress of an intervention to treat or ameliorate a mood disorder status and/or excessive emotional reaction in a subject, wherein the intervention comprises the administration of a probiotic. It also relates to an improved intervention to treat or ameliorate a mood disorder status and/or excessive emotional reaction in a subject in need, comprising administering to the subject, an effective amount of a composition combining a probiotic with butyrate.","<div class=""ccl-clm"" num=""2"">1-2. (canceled)</div>
<div class=""indep-clm"" num=""3""><seg-con>3. Method for detecting and/or quantifying mood disorder,</seg-con></div>
<div class=""indep-clm"" num=""3""><seg-con>improvements of the mood disorder status and/or excessive emotional reaction of a subject, </seg-con><seg-trans>comprising</seg-trans></div>
<div class=""indep-clm"" num=""3""><seg-refi>assessing the level of butyrate in a body sample obtained from a subject to be tested, and</seg-refi></div>
<div class=""indep-clm"" num=""3""><seg-refi>comparing the subject's butyrate level to a predetermined reference value,</seg-refi></div>
<div class=""indep-clm"" num=""3""><seg-refi>wherein an increased butyrate level in the sample compared to the predetermined reference value indicates an improvement of the mood disorder status and/or excessive emotional reaction of the subject.</seg-refi></div>
<div class=""dep-clm"" num=""4"" parent=""3""><seg-con>4. The method according to claim 3, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the mood disorder is mild to severe.</seg-refi></div>
<div class=""dep-clm"" num=""5"" parent=""3""><seg-con>5. The method according to claim 3, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the predetermined reference value was obtained previously from the same subject.</seg-refi></div>
<div class=""dep-clm"" num=""6"" parent=""3""><seg-con>6. The method according to claim 3, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the predetermined reference value is based on an average butyrate level in the same body fluid in a control population.</seg-refi></div>
<div class=""dep-clm"" num=""7"" parent=""3""><seg-con>7. The method according to claim 3, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the levels of the biomarkers in the sample and in the reference are determined by mass spectrometry, according to by ultra-performance liquid or gas chromatography coupled to tandem mass spectrometry.</seg-refi></div>
<div class=""dep-clm"" num=""8"" parent=""3""><seg-con>8. The method",A61K35/745,20250417,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
RU2839586C1,Roasting apparatus calibration method,"FIELD: food industry.SUBSTANCE: group of inventions relates to coffee industry. Disclosed is a method of calibrating an apparatus (X) for roasting coffee beans to reproduce roasting recipes for coffee beans determined using one specific roasting apparatus (M), involving: introducing at least one second temporary temperature sensor into the chamber of the roasting apparatus to be calibrated, or replacing said chamber with a temporary calibration chamber, wherein said temporary calibration chamber comprises at least one second temperature sensor, controlling the heating device to reproduce a predetermined curve Rset, wherein said predetermined curve provides a number of points representing temperature for use at predetermined successive times t1, t2, ..., tfinal, respectively, wherein said control is based on temperature Treg measured by at least one first temperature sensor (5), measurement of temperature Tcal during reproduction of a predetermined curve Rset as a function of time inside the chamber on at least one second temperature sensor, which makes it possible to determine at least a set of points, comparison of temperature measured at at least one moment in time ti with temperature at said same point in time ti of a predetermined reference curve Rref obtained using a control apparatus (M) for frying, wherein said reference curve Rref represents the temperature Tref measured in the chamber of the particular control apparatus (M) during control of the heating device of the control apparatus to reproduce said predetermined curve Rset, calibrating the roasting apparatus (X) based on said comparison by applying a correction in the feedback loop of the temperature Treg measured by the first temperature sensor, or by applying the temperature correction provided by the frying curves for the frying apparatus (X). Also disclosed is an apparatus for roasting coffee beans, in which the control system is configured to implement the described calibration method, and a computer-readable data medium containing instructions which, when executed by a computer, processor or control unit, cause the computer, processor or control unit to perform the described calibration method.EFFECT: group of inventions provides identical roasting of coffee beans at the same roasting profile in different roasting devices.18 cl, 10 dwg","1. Способ калибровки аппарата (X) для обжаривания кофейных зерен для воспроизведения рецептур обжаривания кофейных зерен, определенных с помощью одного конкретного контрольного аппарата (М) для обжаривания,
причем указанный аппарат (X) для обжаривания кофейных зерен содержит:
- камеру (1) для размещения кофейных зерен,
- нагревательное устройство (2), выполненное с возможностью подачи горячего воздуха в камеру,
- по меньшей мере один первый датчик (5) температуры для измерения температуры воздуха, подаваемого нагревательным устройством, причем указанный первый датчик температуры расположен за пределами камеры,
- систему (80) управления, выполненную с возможностью управления нагревательным устройством (2) и выполненную с возможностью воспроизведения кривых обжаривания, причем указанные кривые обжаривания обеспечивают по меньшей мере набор точек, представляющих температуру, которую нужно применять в отдельные последовательные моменты времени ti соответственно, причем указанное управление нагревательного устройства (2) осуществляют посредством регулирования контура обратной связи на основе температуры Treg, измеренной по меньшей мере одним первым датчиком (5) температуры,
причем указанный процесс калибровки включает стадии:
a - введение по меньшей мере одного второго временного датчика температуры внутрь камеры аппарата для обжаривания, подлежащего калибровке, или замена указанной камеры временной калибровочной камерой, причем указанная временная калибровочная камера содержит по меньшей мере один второй датчик температуры,
b - управление нагревательным устройством для воспроизведения предварительно заданной кривой Rset, причем указанная предварительно заданная кривая обеспечивает ряд точек, представляющих температуру для применения в предварительно заданные последовательные моменты времени t1, t2, …, tfinal соответственно, причем указанное управление основано на температуре Treg, измеренной по меньшей мере одним первым датчиком (5) температуры,
c - измерение температур","A23N12/08, A23F5/04, A23N12/12, G01N25/00",20250506,СОСЬЕТЕ ДЕ ПРОДЮИ НЕСТЛЕ С.А.,['Active']
US20250019108A1,"Process for the production of a container for the preparation of a beverage in a beverage preparation device, sealing station for carrying out a sealing step of said process, and a container obtained by said process","The present invention concerns a process for producing a container for the preparation of a beverage in a beverage preparation device, wherein, in the final container obtained, at least 70% of the surface of a compacted beverage ingredient body (<b>2</b>) contained therein, is in contact with the container walls (<b>3, 4</b>).","<div class=""indep-clm"" num=""1""><seg-main>1. A process for producing a container for the preparation of a beverage in a beverage preparation device, comprising </seg-main><seg-clauses><seg-main>the steps of:</seg-main>
<seg-clauses>a. providing an injection wall of said container comprising a paper layer, said injection wall comprising: a peripheral sealing edge, and an inner portion capable of being punctured by an injection member of the beverage preparation device for circulating water under pressure inside said container;</seg-clauses>
<seg-clauses>b. providing a beverage delivery wall of said container comprising a paper layer, said delivery wall comprising: a peripheral sealing edge, and an inner portion capable of being opened by an opening member of the beverage preparation device when the pressure inside said container presses said inner portion against said opening member, to let the beverage flow out, wherein at least one, preferably both, of said inner portions of said injection and delivery walls has a cup shape;</seg-clauses>
<seg-clauses>c. placing a compacted body of beverage ingredient in the cup-shaped inner portion of the injection or delivery wall;</seg-clauses>
<seg-clauses>d. placing the injection and delivery walls one above the other such that the sealing edges of said injection and delivery walls are superimposed, in order to form a preliminary container chamber containing said ingredient body and comprising a preliminary headspace not filled by said compacted ingredient body;</seg-clauses>
<seg-clauses><seg-main>e. providing a sealing station comprising: first and second housing elements forming a sealing chamber for housing the inner portions of said injection and delivery walls, wherein said first and second housing elements are configured for being moved towards each other for sealing said edges, and such that the surfaces of said sealing chamber are in contact with external surfaces of said inner portions of the injection and delivery wa","B65B51/10, B65B29/02, B65D85/804",20250116,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
US12232518B2,Apparatus and method for roasting coffee beans,"The invention concerns an apparatus for roasting coffee beans comprising: —a vessel (<b>1</b>) to contain coffee beans, —a heating device (<b>12</b>) to heat coffee beans contained in the vessel, —a control system (<b>180</b>) operable to control the heating device and configured to apply a roasting recipe (R) providing the temperature T<sub>@t1</sub>, T<sub>@t2</sub>, . . . to be applied at discrete successive times t<sub>1</sub>, t<sub>2</sub>, . . . , respectively, wherein for a customised quantity m of coffee beans introduced inside the vessel, —the control system is configured to obtain at least the quantity m of coffee beans introduced inside the vessel, and —the control system is configured to get access to at least one series of roasting recipes (R<sub>i</sub>, R<sub>i+1</sub>, . . . ) adapted to the roasting of different successive pre-determined quantities (M<sub>i</sub>, M<sub>i+1</sub>, . . . ) of beans of same type and to said pre-determined quantities Mi, Mi+1, . . . , and —based on said accessible series of roasting recipes (R<sub>i</sub>, R<sub>i+1</sub>, . . . ) adapted to the roasting of different successive pre-determined quantities (M<sub>i</sub>, M<sub>i+1</sub>, . . . ) of beans of same type and based on said obtained quantity m of coffee beans introduced inside the vessel, the control system is configured to determine the roasting recipe (R) to be applied on said obtained quantity m of coffee beans introduced inside the vessel.","<div class=""indep-clm"" num=""1""><seg-con>1. An apparatus for roasting coffee beans, the apparatus </seg-con><seg-trans>comprising:</seg-trans></div>
<div class=""indep-clm"" num=""1""><seg-comp>a vessel to contain coffee beans;</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>a heating device to heat coffee beans contained in the vessel; and</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>a control system operable to control the heating device and configured to apply a roasting recipe providing the temperature T<sub>@t1</sub>, T<sub>@t2</sub>, . . . to be applied at discrete successive times t<sub>1</sub>, t<sub>2</sub>, . . . , respectively,</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>wherein, for a customised quantity m of coffee beans introduced inside the vessel,</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>the control system is configured to obtain at least the quantity m of coffee beans introduced inside the vessel, and</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>the control system is configured to get access to at least one series of roasting recipes (R<sub>i</sub>, R<sub>i+1</sub>, . . . ) adapted to the roasting of different successive pre-determined quantities (M<sub>i</sub>, M<sub>i+1</sub>, . . . ) of beans of same type and to the pre-determined quantities Mi, Mi+1, . . . , and</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>based on the accessible series of roasting recipes (R<sub>i</sub>, R<sub>i+1</sub>, . . . ) adapted to the roasting of different successive pre-determined quantities (M<sub>i</sub>, M<sub>i+1</sub>, . . . ) of beans of same type and based on the obtained quantity m of coffee beans introduced inside the vessel, the control system is configured to determine the roasting recipe to be applied on the obtained quantity m of coffee beans introduced inside the vessel,</seg-comp></div>
<div class=""indep-clm"" num=""1""><seg-comp>wherein the control system is configured to determine","A47J42/52, A23F5/04, A23N12/08, A23N12/12",20250225,SOCIETE DES PRODUITS NESTLE S.A.,['Active']
US12397026B2,Dietary supplement,"An oral composition comprising at least one probiotic bacteria selected from the genera: <i>Lactobacillus, Bifidobacterium</i>, and <i>Bacillus</i>, and ferric pyrophosphate.","<div class=""indep-clm"" num=""1""><seg-con>1. An oral composition </seg-con><seg-trans>comprising:</seg-trans></div>
<div class=""indep-clm"" num=""1""><seg-refi>at least one probiotic bacteria selected from the group consisting of: <i>Lactobacillus rhamnosus </i>CGMCC 1.3724, <i>Bifidobacterium lactis </i>CNCM I-3446, and a mixture thereof;</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>ferric pyrophosphate, wherein the ferric pyrophosphate has a particle size distribution D<sub>90 </sub>of 200 microns or less, a particle size distribution D<sub>97 </sub>of 25 microns or less, and an average particle size of about 0.001 microns to about 10 microns; and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>at least one pharmaceutically acceptable additive or excipient selected from the group consisting of stabilizers, fillers, emulsifiers, surfactants, solubilising agents, adsorbents, flowing agents, buffers, lubricants, wetting agents, carriers, antioxidants, thickeners, anticaking agents, coating agents, taste masking agents, preservatives, flavouring agents and dyes.</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2. The composition according to claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the ferric pyrophosphate is in the form of a colloid.</seg-refi></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-con>3. The composition according to claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the at least one probiotic bacteria is the mixture of <i>Lactobacillus rhamnosus </i>CGMCC 1.3724 and <i>Bifidobacterium lactis </i>CNCM I-3446.</seg-refi></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-con>4. The composition according to claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the at least one probiotic bacteria comprises <i>Lactobacillus rhamnosus </i>CGMCC 1.3724.</seg-refi></div>
<div class=""dep-clm"" num=""5"" parent=""1""><seg-con>5. The composition according to claim 1, </seg-con><seg-trans>wherein </seg","A61K35/747, A23L33/00, A23L33/135, A23L33/16, A61K9/00",20250826,SOCIETE DES PRODUITS NESTLE S.A.,['Active']
US20250073195A1,Medium chain triglyceride compositions,A composition comprising medium-chain triglycerides (MCTs) wherein the composition comprises (i) a MCT comprising three fatty acid moieties each with 8 carbon atoms (MCT-C8) and (ii) a MCT comprising three fatty acid moieties each with 10 carbon atoms (MCT-C10); wherein the ratio of MCT-C8 to MCT-C10 is from 10:90 to 90:10 (mol/mol) and wherein the combined amount of MCT-C8 and MCT-C10 make up at least 50 mol % of the MCTs in the composition.,"<div class=""indep-clm"" num=""1""><seg-main>1: A composition comprising </seg-main><seg-clauses><seg-main>medium-chain triglycerides (MCTs) wherein the composition comprises </seg-main><seg-clauses>(i) a MCT comprising three fatty acid moieties each with 8 carbon atoms (MCT-C8) and </seg-clauses><seg-clauses>(ii) a MCT comprising three fatty acid moieties each with 10 carbon atoms (MCT-C10); wherein the ratio of MCT-C8 to MCT-C10 is from 20:80 to 80:20 (mol/mol) and wherein the combined amount of MCT-C8 and MCT-C10 make up at least 50 mol % of the MCTs in the composition.</seg-clauses></seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2: The composition according to claim 1, wherein </seg-main><seg-clauses>the ratio of MCT-C8 to MCT-C10 is about 20:80 (mol/mol).</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-main>3: The composition according to claim 1, wherein </seg-main><seg-clauses>the combined amount of the MCTs in the composition.</seg-clauses></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-main>4: The composition according to claim 1, wherein </seg-main><seg-clauses>the three fatty acid moieties each with 8 carbon atoms are octanoic acid moieties and/or the three fatty acid moieties each with 10 carbon atoms are decanoic acid moieties.</seg-clauses></div>
<div class=""dep-clm"" num=""5"" parent=""1""><seg-main>5: The composition according claim 1, wherein </seg-main><seg-clauses>said composition further comprises one or more agents that promote or sustain neurologic health or enhance cognitive function wherein said agents are selected from the group consisting of vitamins, choline, phosphatidylserine, alpha-lipoic acid, CoQ10, acetyl-L-carintine, herbal extracts (such as <i>Gingko biloba, Bacopa monniera, Convolvulus pluricaulis </i>and <i>Leucojum aestivum</i>), omega-3 or omega-6 polyunsaturated fatty acids (such as eicosapentaenoic acid, docosapentaenoic acid or docosahexaenoic acid as free fatty acid), aliphatic ester (such","A61K31/21, A23K20/158, A23L33/12",20250306,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
US20250228809A1,Compositions for use,"A paediatric supplement or human milk fortifier composition comprising at least one nutrients selected in the list consisting of: ALA, DHA, EPA, 2FL, LNnT, vitamin A, thiamine, thiamine monophosphate, vitamin B2, vitamin B6, vitamin B9, calcium and phosphorus, GD3, GM3. Said paediatric supplement or human milk fortifier composition is tailored or adapted for a child born via C-section who is breast fed and/or to fortify the breast milk of a woman who has given birth via C-section. Said paediatric supplement or human milk fortifier composition is beneficial to provide adequate nutrition to a child born via C-section and promote associated health benefits.","<div class=""indep-clm"" num=""1""><seg-main>1. A paediatric supplement or human milk fortifier composition comprising </seg-main><seg-clauses>at least one nutrient selected from the group consisting of:</seg-clauses>
<seg-clauses class=""seg-enter"">alpha linolenic acid (ALA) in a daily amount ranging from 19 to 80 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">docosahexaenoic acid (DHA) in a daily amount ranging from 13 to 25 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">eicosapentanoic acid (EPA) in a daily amount ranging from 6 to 9 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">2-fucosyllactose (2′-FL) in a daily amount ranging from 280 to 1050 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">Lacto-N-neotetraose (LNnT) in a daily amount ranging from 30 to 50 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">vitamin A in a daily amount ranging from 224 to 342 kg;</seg-clauses>
<seg-clauses class=""seg-enter"">thiamine in a daily amount ranging from 6.6 to 10 kg;</seg-clauses>
<seg-clauses class=""seg-enter"">thiamine monophosphate in a daily amount ranging from 10 to 15 kg;</seg-clauses>
<seg-clauses class=""seg-enter"">vitamin B2 in a daily amount ranging from 9 to 19 kg;</seg-clauses>
<seg-clauses class=""seg-enter"">vitamin B6 in a daily amount ranging from 15 to 68 kg;</seg-clauses>
<seg-clauses class=""seg-enter"">vitamin B9 in a daily amount ranging from 1.1 to 9 kg;</seg-clauses>
<seg-clauses class=""seg-enter"">calcium in a daily amount ranging from 10 to 16 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">phosphorus in a daily amount ranging from 4.5 to 14 mg;</seg-clauses>
<seg-clauses class=""seg-enter"">GD3 in a daily amount ranging from 8 to 12 mg; and</seg-clauses>
<seg-clauses class=""seg-enter"">GM3 in a daily amount ranging from 1 to 1.5 mg; and</seg-clauses>
<seg-clauses class=""seg-enter"">combinations thereof.</seg-clauses></div>
<div class=""ccl-clm"" num=""2"">2. (canceled)</div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-main>3. A paediatric supplement or hum","A61K31/202, A23L33/00, A61K31/07, A61K31/4415, A61K31/51",20250717,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
CN119654074A,Method for producing moist salty products,"The present invention relates to a method for producing a moist salty product. In particular, the present invention relates to a method for producing a moist salty product comprising the steps of mixing a composition comprising water, oil, soluble fibers having a molecular weight of less than 6000 g/mol and a flavoring agent, pasteurizing the mixture, and after cooling, adding ungelatinized starch, followed by packaging the moist salty product.","<div class=""indep-clm"" num=""1""><seg-con>1.用于生产湿润咸味产品的方法，所述方法</seg-con><seg-trans>包括以下步骤：</seg-trans></div>
<div class=""indep-clm"" num=""1""><seg-refi>a)将组合物混合，所述组合物包含基于所述总湿润咸味产品计15</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>重量％至60重量％的水、基于所述总湿润咸味产品计0重量％至</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>25重量％的油、基于所述总湿润咸味产品计4重量％至30重量％的可溶性纤维和基于所述总湿润咸味产品计5重量％至65重量％的风味剂；</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>b)对步骤a)的混合物进行巴氏灭菌；</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>c)将巴氏灭菌的混合物冷却至低于未糊化淀粉的糊化温度；</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>d)添加基于所述总湿润咸味产品计0.5重量％至20重量％的未糊化淀粉并进一步混合；</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>e)对所述湿润咸味产品进行包装；</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>其中所述可溶性纤维的分子量低于6000g/mol并且其中所述湿润咸味产品不是凝胶。</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1"">2.根据权利要求1所述的用于生产湿润咸味产品的方法，其中所述湿润咸味产品包含介于30重量％至75重量％(基于所述总湿润咸味产品计)之间的总固体含量。</div>
<div class=""dep-clm"" num=""3"" parent=""1,2"">3.根据权利要求1至2中任一项所述的用于生产湿润咸味产品的方法，其中所述组合物包含15重量％至45重量％的水(基于所述总湿润咸味产品计)、5重量％至25重量％的油(基于所述总湿润咸味产品计)、4重量％至30重量％的可溶性纤维(基于所述总湿润咸味产品计)和5重量％至60重量％的风味剂(基于所述总湿润咸味产品计)。</div>
<div class=""dep-clm"" num=""4"" parent=""1,2,3"">4.根据权利要求1至3中任一项所述的用于生产湿润咸味产品的方法，其中所述未糊化淀粉以3重量％至20重量％(基于所述总湿润咸味产品计)的量存在。</div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4"">5.根据权利要求1至4中任一项所述的用于生产湿润咸味产品的方法，其中所述未糊化淀粉选自玉米淀粉、马铃薯淀粉或其组合。</div>
<div class=""dep-clm"" num=""6"" parent=""1,2,3,4,5"">6.根据权利要求1至5中任一项所述的用于生产湿润咸味产品的方法，其中所述可溶性纤维选自可溶性玉米纤维、可溶性菊苣根纤维、可溶性甜菜纤维或其组合。</div>
<div class=""dep-clm"" num=""7"" parent=""1,2,3,4,5,6"">7.根据权利要求1至6中任一项所述的用于生产湿润咸味产品的方法，其中所述可溶性纤维选自分子量介于1000g/mol至2000g/mol之间的可溶性菊苣根纤维。</div>
<div class=""dep-clm"" num=""8"" parent=""1,2,3,4,5,6,7"">8.根据权利要求1至7中任一项所述的用于生产湿润咸味产品的方法，其中步骤b)中的所述巴氏灭菌在至少70℃的温度进行。</div>
<div class=""dep-clm"" num=""9"" parent=""1,2,3,4,5,6,7,8"">9.根据权利要求1至8中任一项所述的用于生产湿润咸味产品的方法，其中将步骤c)中的所述混合物冷却至介于25℃至65℃之间的温度。</div>
<div class=""dep-clm"" num=""10"" parent=""1,2,3,4,5,6,7,8,9"">10.根据权利要求1至9中任一项所述的用于生产湿润咸味产品的方法，其","A23B2/40, A23L23/00, A23L23/10, A23L29/20, A23L29/212",20250318,雀巢产品有限公司,['Pending']
